City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,san pedro,14.35,121.0167,29.08,87,75,1.34,PH,1695349632
325,south sioux city,42.4739,-96.4136,20.11,70,0,3.6,US,1695349632
326,brookings,44.3114,-96.7984,19.54,72,40,1.54,US,1695349633
327,lohardaga,23.4333,84.6833,22.74,98,100,2.0,IN,1695349396
328,chinde,26.8418,88.0763,16.61,99,100,1.37,NP,1695349633
329,tangalle,6.024,80.7911,27.09,82,28,2.88,LK,1695349634
330,comodoro rivadavia,-45.8667,-67.5,1.92,75,0,3.09,AR,1695349634
331,nuuk,64.1835,-51.7216,1.34,93,3,1.54,GL,1695349546
332,tofol,5.3248,163.0078,30.88,74,75,1.54,FM,1695349635
333,guatrache,-37.6678,-63.5302,12.5,79,100,5.49,AR,1695349636
334,mogadishu,2.0371,45.3438,25.49,90,97,5.31,SO,1695349636
335,piacabucu,-10.4056,-36.4344,23.41,83,14,3.6,BR,1695349637
336,pisco,-13.7,-76.2167,18.03,88,20,5.14,PE,1695349471
337,la'ie,21.6477,-157.9253,29.98,76,100,3.13,US,1695349638
338,lucheng,31.2336,117.2806,18.45,88,100,2.1,CN,1695349638
339,salalah,17.0151,54.0924,27.05,89,75,2.57,OM,1695349639
340,vilyuchinsk,52.9306,158.4028,16.15,50,6,3.42,RU,1695349639
341,aasiaat,68.7098,-52.8699,-6.53,79,6,2.06,GL,1695349639
342,wynyard,-41.0,145.7167,13.66,51,31,3.6,AU,1695349613
343,zhigalovo,54.8097,105.1578,11.47,65,99,0.67,RU,1695349640
344,chimichagua,9.2578,-73.8123,26.53,83,72,1.1,CO,1695349641
345,monrovia,6.3005,-10.7969,24.95,88,100,2.52,LR,1695349641
346,anamosa,42.1083,-91.2852,18.49,91,47,4.02,US,1695349642
347,kolda,12.8833,-14.95,23.84,96,95,0.98,SN,1695349642
348,zinjibar,13.1287,45.3807,30.09,74,6,1.49,YE,1695349643
349,hinatuan,8.3722,126.3342,30.69,61,89,1.88,PH,1695349643
350,okha,53.5739,142.9478,9.7,51,7,6.69,RU,1695349644
351,geraldton,-28.7667,114.6,21.23,78,100,5.14,AU,1695349644
352,miles city,46.4083,-105.8406,19.54,68,0,5.66,US,1695349645
353,nova sintra,14.8667,-24.7167,24.4,84,17,4.64,CV,1695349645
354,beypazari,40.1675,31.9211,16.77,43,92,0.82,TR,1695349646
355,jorhat,26.75,94.2167,25.5,93,99,2.16,IN,1695349646
356,papao,-17.75,-149.55,24.82,83,95,5.11,PF,1695349647
357,rurrenabaque,-14.4413,-67.5278,26.91,54,2,0.9,BO,1695349647
358,onega,63.9061,38.1404,8.66,97,100,3.78,RU,1695349647
359,uzgen,40.7699,73.3007,13.16,85,100,1.98,KG,1695349648
360,mabaruma,8.2,-59.7833,25.57,85,28,1.13,GY,1695349649
361,itanagar,27.1,93.6167,24.02,95,100,0.54,IN,1695349649
362,mili,6.0815,171.735,28.19,74,100,3.07,MH,1695349649
